file_path,dataset_split,sample_id,action,unique_rgb_count,unique_rgbs,all_colors_in_frozen_palette,invalid_color_count,invalid_colors,nearest_frozen_palette_colors,distance_to_nearest_palette,suspected_old_palette,confidence,result
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/ADD/add_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_bad.png,c13_overfit,add_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_bad,ADD,6,"[[80, 96, 128], [176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/ADD/add_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_target.png,c13_overfit,add_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_target,ADD,7,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/ADD/c12_1_add_dfb54c79-6d74-454e-8bce-a6898527daba_MasterBedroom-64939_add-1_18/I_bad.png,c13_overfit,c12_1_add_dfb54c79-6d74-454e-8bce-a6898527daba_MasterBedroom-64939_add-1_18_I_bad,ADD,5,"[[80, 96, 128], [176, 96, 224], [222, 222, 222], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/ADD/c12_1_add_dfb54c79-6d74-454e-8bce-a6898527daba_MasterBedroom-64939_add-1_18/I_target.png,c13_overfit,c12_1_add_dfb54c79-6d74-454e-8bce-a6898527daba_MasterBedroom-64939_add-1_18_I_target,ADD,6,"[[32, 112, 112], [80, 96, 128], [176, 96, 224], [222, 222, 222], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/ADD/add_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_bad.png,c13_overfit,add_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_bad,ADD,6,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/ADD/add_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_target.png,c13_overfit,add_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_target,ADD,7,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REMOVE/remove_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_bad.png,c13_overfit,remove_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_bad,REMOVE,7,"[[80, 96, 128], [176, 96, 224], [192, 80, 112], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REMOVE/remove_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas/I_target.png,c13_overfit,remove_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas_I_target,REMOVE,6,"[[80, 96, 128], [176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REMOVE/c12_1_remove_473f4a9e-505e-4864-9ffd-59a793b26d5a_Bedroom-1705_remove-2_8/I_bad.png,c13_overfit,c12_1_remove_473f4a9e-505e-4864-9ffd-59a793b26d5a_Bedroom-1705_remove-2_8_I_bad,REMOVE,5,"[[176, 96, 224], [222, 222, 222], [224, 32, 128], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_overfit_dataset_v1/REMOVE/c12_1_remove_473f4a9e-505e-4864-9ffd-59a793b26d5a_Bedroom-1705_remove-2_8/I_target.png,c13_overfit,c12_1_remove_473f4a9e-505e-4864-9ffd-59a793b26d5a_Bedroom-1705_remove-2_8_I_target,REMOVE,4,"[[176, 96, 224], [222, 222, 222], [224, 192, 32], [255, 255, 255]]",True,0,[],[],0,,high,PALETTE_OK
