action,sample_id,image,blockwise_controlnet_image,blockwise_controlnet_inpaint_mask,image_exists,control_image_exists,mask_exists,prompt_nonempty,mask_unique_values,mask_binary,mask_area_px,changed_pixels_inside_mask,changed_pixels_outside_mask,changed_ratio_inside_mask,inside_change_ok,outside_equality_ok,status,fail_flags
REMOVE,remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/control_mask.png,True,True,True,True,"[0, 255]",True,2891,1419,0,0.4908336215842269,True,True,PASS,
REMOVE,remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/control_mask.png,True,True,True,True,"[0, 255]",True,1995,777,0,0.3894736842105263,True,True,PASS,
REMOVE,remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/control_mask.png,True,True,True,True,"[0, 255]",True,18180,12240,0,0.6732673267326733,True,True,PASS,
REMOVE,remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/control_mask.png,True,True,True,True,"[0, 255]",True,21420,16940,0,0.7908496732026143,True,True,PASS,
REMOVE,remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/control_mask.png,True,True,True,True,"[0, 255]",True,7007,1452,0,0.20722135007849293,True,True,PASS,
REMOVE,remove_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-3_0/control_mask.png,True,True,True,True,"[0, 255]",True,2021,837,0,0.4141514101929738,True,True,PASS,
REMOVE,remove_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-4_14/control_mask.png,True,True,True,True,"[0, 255]",True,2068,868,0,0.4197292069632495,True,True,PASS,
REMOVE,remove_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-5_18,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-5_18/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-5_18/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-5_18/control_mask.png,True,True,True,True,"[0, 255]",True,4000,2016,0,0.504,True,True,PASS,
REMOVE,remove_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-0_18,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-0_18/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-0_18/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-0_18/control_mask.png,True,True,True,True,"[0, 255]",True,28600,20948,0,0.7324475524475524,True,True,PASS,
REMOVE,remove_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-1_0,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-1_0/I_target.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-1_0/I_bad.png,/wuqingyaoa800/qiuziyan/LoReflection/outputs/semantic_repair4_medium_dataset_v1/REMOVE/remove_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_remove-1_0/control_mask.png,True,True,True,True,"[0, 255]",True,2058,858,0,0.41690962099125367,True,True,PASS,
