action,sample_id,I_bad_palette_ok,I_target_palette_ok,mask_binary,metadata_paths_exist,prompt_nonempty,changed_pixels_inside_mask,changed_pixels_outside_mask,no_op,action_type,execution_mode,no_rotate_scale,null_category,status
ADD,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,True,True,True,True,True,1419,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,True,True,True,True,True,777,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,True,True,True,True,True,12240,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-0_4,True,True,True,True,True,16940,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-2_8,True,True,True,True,True,1452,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_006_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-3_0,True,True,True,True,True,837,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_007_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-4_14,True,True,True,True,True,868,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_008_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_add-5_18,True,True,True,True,True,2016,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_009_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-0_18,True,True,True,True,True,20948,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_010_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-1_0,True,True,True,True,True,858,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_011_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-2_4,True,True,True,True,True,858,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_012_04f7a09d-08be-4e6f-965d-b655e0f654fe_SecondBedroom-30034_add-3_8,True,True,True,True,True,2420,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_013_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-1_4,True,True,True,True,True,2149,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_014_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-2_0,True,True,True,True,True,832,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_015_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-3_10,True,True,True,True,True,960,0,False,ADD,semantic_repair,True,False,PASS
ADD,add_016_0b4abd30-b157-4ecf-a077-989285598cf2_SecondBedroom-6482_add-4_16,True,True,True,True,True,3683,0,False,ADD,semantic_repair,True,False,PASS
