I_bad.png,I_target.png,action,action_specific_iou,allowed_label_violation_count,available_files,contact_sheet.png,control_mask.png,copyback_output.png,diff_map.png,edit_success,eval_step,extra_component_count,folder_exists,masked_pixel_accuracy,metric_action,metrics.json,missing_expected,overlay.png,raw_output.png,sample_dir,sample_id,sample_metrics.json,sample_summary.json,sanitized_output.png,snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/I_target.png,REMOVE,1.0,0,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/diff_map.png,True,step300,0,True,1.0,REMOVE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-0_0/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/I_target.png,REMOVE,1.0,0,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/diff_map.png,True,step300,0,True,1.0,REMOVE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-2_8/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/I_target.png,REMOVE,0.8323432343234324,2130,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/diff_map.png,False,step300,3,True,0.8323432343234324,REMOVE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_remove-3_18/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/I_target.png,REMOVE,1.0,0,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/diff_map.png,True,step300,0,True,1.0,REMOVE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_004_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-0_4/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/I_target.png,REMOVE,0.7365491651205937,97,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/diff_map.png,False,step300,1,True,0.7365491651205937,REMOVE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REMOVE_20/c13_overfit_REMOVE/step300_eval/remove_005_04684207-3d45-4d33-bd9d-0f66c9a45402_MasterBedroom-9404_remove-2_8/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/I_target.png,REPLACE,0.021335168616655197,1649,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/diff_map.png,False,step300,4,True,0.44267609784851164,REPLACE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite,replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2-opposite/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/I_target.png,REPLACE,0.03302509907529723,75,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/diff_map.png,False,step300,2,True,0.5275567344532862,REPLACE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2,replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-0_2/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/I_target.png,REPLACE,1.0,60,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/diff_map.png,False,step300,1,True,0.5938886150813208,REPLACE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite,replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10-opposite/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/I_target.png,REPLACE,1.0,53,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/diff_map.png,False,step300,1,True,0.6071956628881222,REPLACE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10,replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_004_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-2_10/snapped_output.png
outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/I_bad.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/I_target.png,REPLACE,1.0,7167,I_bad.png;I_target.png;contact_sheet.png;control_mask.png;copyback_output.png;diff_map.png;raw_output.png;sample_metrics.json;snapped_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/contact_sheet.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/control_mask.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/copyback_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/diff_map.png,False,step300,5,True,0.22073707370737072,REPLACE,,sanitized_output.png;overlay.png;metrics.json;sample_summary.json,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/raw_output.png,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite,replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/sample_metrics.json,,,outputs/manual_review/c14_4_palette_fixed_REPLACE_20/c13_overfit_REPLACE/step300_eval/replace_005_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_replace-3_20-opposite/snapped_output.png
