chapter,reading_order,file_path,why_read,what_to_focus_on,questions_to_answer,done,notes,confidence
1,1,docs/CURRENT_PROJECT_STATE.md,Source of truth,current protocol and next step,What are semantic_repair4 and parametric_update?,,,high
1,2,docs/START_HERE.md,Short entry map,recommended first files,Where should a beginner start?,,,high
1,3,README.md,Project overview,pipeline and C12-C14 status,What is the current training stage?,,,high
1,4,PROGRESS.md,Milestone status,latest gate decisions,What is blocked now?,,,high
1,5,README_SERVER.md,Server workflow,server-only paths and cautions,Which paths are server-only?,,,high
2,6,outputs/current_vlm_planner_handoff/ACTION_PROTOCOL.md,Action routing,six actions and two routes,Which actions train Qwen/DiffSynth?,,,high
2,7,outputs/current_vlm_planner_handoff/README_VLM_PLANNER_HANDOFF.md,VLM responsibilities,what VLM emits,What must VLM avoid?,,,high
2,8,outputs/current_vlm_planner_handoff/REPAIRPLAN_OUTPUT_SPEC.md,Output fields,required fields,Which fields are always present?,,,high
2,9,outputs/current_vlm_planner_handoff/VALIDATION_GUIDE.md,Validation command,validator usage,What command validates examples?,,,high
2,10,outputs/current_vlm_planner_handoff/planner_sft_minimal_examples.jsonl,Examples,canonical actions,How do examples encode actions?,,,high
3,11,artifacts/current_interface/repairplan.schema.json,RepairPlan schema,action constraints,What does each action require?,,,high
3,12,artifacts/current_interface/mask_spec.schema.json,Mask schema,components and allowed labels,What is component_role?,,,high
3,13,artifacts/current_interface/planner_input_context.schema.json,Input schema,required context fields,What must input contain?,,,high
3,14,tools/validate_current_repairplan.py,Validator,cross-field checks,What does schema not catch?,,,high
3,15,tests/test_current_repairplan_schema.py,Schema tests,negative cases,Which invalid plans fail?,,,high
3,16,tests/test_current_action_protocol.py,Action tests,routing,How is routing protected?,,,high
3,17,tests/test_current_c12_manifest.py,Manifest tests,metadata exclusion,What must C12 metadata exclude?,,,high
4,18,reports/current_c12_input_manifest.json,C12 manifest,12 current rows,How are samples listed?,,,high
5,19,docs/C12_REPAIR_OUTPUT_SANITIZER.md,Sanitizer doc,C12 gate,What is C12_PASS?,,,high
5,20,reports/c12_sanitizer_eval.json,Sanitizer result,validator/oracle/palette,Did all rows pass?,,,high
5,21,reports/c12_sanitizer_policy_sweep.json,Policy sweep,cleanup thresholds,Which threshold was chosen?,,,high
5,22,tools/replace_noop_c12_samples.py,Replacement tool,invalid row replacement,How were no-op rows fixed?,,,high
5,23,tools/search_valid_editroom_semantic_repair4_samples.py,Candidate search,valid sample filters,What makes a candidate valid?,,,high
6,24,docs/EDITROOM_TO_SEMANTIC_LAYOUT_CONVERSION_POLICY.md,Conversion policy,EditRoom to sample,How are pairs converted?,,,high
6,25,tools/convert_editroom_pair_to_semantic_layout.py,Converter,renders I_bad/I_target,What files are output?,,,high
6,26,tools/validate_editroom_semantic_pair.py,Pair validator,oracle/nonmask/palette,How is a pair validated?,,,high
6,27,reports/c13_semantic_repair4_pipeline_result.json,C13 report,dataset and training config,Was loader dry-run successful?,,,high
6,28,reports/c14_medium_dataset_manifest.json,C14 manifest,80 rows,What is distribution by action?,,,high
6,29,reports/c14_medium_data_gate.json,C14 data gate,20/action quality,Did data pass?,,,high
6,30,reports/c14_diffsynth_loader_dryrun.json,Loader report,tensor/mask/prompt,Did UnifiedDataset load?,,,high
7,31,docs/C13_SEMANTIC_REPAIR4_OVERFIT.md,C13 doc,3/action overfit,Why partial?,,,high
7,32,configs/c13_semantic_repair4_overfit/add.yaml,C13 config,ADD params,What rows/seed/path?,,,high
7,33,configs/c13_semantic_repair4_overfit/remove.yaml,C13 config,REMOVE params,What rows/seed/path?,,,high
7,34,configs/c13_semantic_repair4_overfit/translate.yaml,C13 config,TRANSLATE params,What rows/seed/path?,,,high
7,35,configs/c13_semantic_repair4_overfit/replace.yaml,C13 config,REPLACE params,What rows/seed/path?,,,high
7,36,configs/c13_semantic_repair4_overfit/mixed.yaml,C13 config,mixed params,How many rows?,,,high
7,37,scripts/c13_train_common.sh,Training command,DiffSynth args,Which parameters are explicit?,,,high
7,38,scripts/c13_train_add.sh,Action script,ADD env vars,Which GPU/seed defaults?,,,high
7,39,scripts/c13_train_remove.sh,Action script,REMOVE env vars,Which metadata path?,,,high
7,40,scripts/c13_train_translate.sh,Action script,TRANSLATE env vars,Which metadata path?,,,high
7,41,scripts/c13_train_replace.sh,Action script,REPLACE env vars,Which metadata path?,,,high
7,42,scripts/c13_train_mixed.sh,Action script,MIXED env vars,How is mixed launched?,,,high
7,43,reports/c13_overfit_ADD.json,C13 metric,ADD metrics,What failed?,,,high
7,44,reports/c13_overfit_REMOVE.json,C13 metric,REMOVE metrics,What learned best?,,,high
7,45,reports/c13_overfit_TRANSLATE.json,C13 metric,TRANSLATE metrics,How did translate behave?,,,high
7,46,reports/c13_overfit_REPLACE.json,C13 metric,REPLACE metrics,What did replace learn?,,,high
7,47,reports/c13_overfit_MIXED.json,C13 metric,mixed metrics,Was mixed partial?,,,high
8,48,docs/C14_MEDIUM_SCALE_DIAGNOSTIC_TRAINING.md,C14 doc,20/action and C14.1,Why not scale to 50/action?,,,high
8,49,configs/c14_semantic_repair4_medium/remove_20.yaml,C14 config,REMOVE 20,What changed from C13?,,,high
8,50,configs/c14_semantic_repair4_medium/replace_20.yaml,C14 config,REPLACE 20,What metadata path?,,,high
8,51,configs/c14_semantic_repair4_medium/translate_20.yaml,C14 config,TRANSLATE 20,What metadata path?,,,high
8,52,configs/c14_semantic_repair4_medium/add_20.yaml,C14 config,ADD 20,What metadata path?,,,high
8,53,configs/c14_semantic_repair4_medium/mixed_80.yaml,C14 config,MIXED_80,How many rows?,,,high
8,54,scripts/c14_train_remove_20.sh,C14 script,server mirror,What script does it call?,,,high
8,55,scripts/c14_train_mixed_80.sh,C14 script,server mirror,When should mixed run?,,,high
8,56,reports/c14_1_autogpu_resume_result.json,C14.1 result,"GPU2, checkpoints, loss",Did training run?,,,high
8,57,reports/c14_1_autogpu_image_eval_summary.json,C14.1 eval,edit success and violations,What is the blocker?,,,high
9,58,tools/evaluate_c13_semantic_repair4_outputs.py,Evaluator,inference and metrics,What are raw/snapped/sanitized outputs?,,,high
9,59,outputs/manual_review/c14_1_autogpu_loss_curves/,Generated curves,loss plots,Do losses decrease?,,,high
9,60,outputs/manual_review/,Manual review outputs,visual comparisons,Which folders are referenced by reports?,,,high
10,61,docs/PROJECT_STRUCTURE_GUIDE.md,Repo guide,full folder map,Where is each module?,,,high
10,62,docs/PROJECT_STRUCTURE_FILE_INDEX.csv,File index,per-file status,Which files are generated?,,,high
10,63,docs/MODULE_AND_FOLDER_EXPLANATION.md,Folder guide,narrative folder guide,What should a beginner skip?,,,high
10,64,docs/BEGINNER_CODE_READING_BY_QUESTION.md,Question guide,task lookup,Which guide answers my question?,,,high
10,65,docs/BEGINNER_CODE_READING_NOTES_TEMPLATE.md,Notes template,reading note fields,How do I document learning?,,,high
