variant,sample_id,action,prompt,masked_pixel_accuracy,nonmask_equality_after_copyback,palette_validity_raw,palette_validity_snapped,nearest_palette_distance_mean_raw,nearest_palette_distance_p95_raw,object_count_f1,instance_precision,instance_recall,instance_f1,extra_component_count,allowed_label_violation_count,raw_unique_palette_ids_after_nearest,copyback_unique_palette_ids,target_object_iou,target_object_iou_inside_mask,source_object_iou,source_remaining_pixels_inside_mask,action_specific_iou,edit_success,white_region_floor_or_target_accuracy,source_removed_or_replaced,old_region_target_pixels,old_region_cleared,new_region_target_present
I_target,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one dressing_table in the target_regi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one dressing_table in the target_regi",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
I_bad,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one dressing_table in the target_regi",0.5091663784157731,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,1.0,0.8,0.8888888888888888,0,0,6,6,0.0,0.0,,,0.0,False,,,,,
random_fixed_palette,add_001_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-0_0,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one dressing_table in the target_regi",0.029747492217225873,1.0,1.0,1.0,0.0,0.0,0.8888888888888888,1.0,0.8,0.8888888888888888,0,2104,26,26,0.03408316291751875,0.03408316291751875,,,0.03408316291751875,False,,,,,
I_target,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one stool in the target_region using ",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one stool in the target_region using ",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
I_bad,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one stool in the target_region using ",0.6105263157894737,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,False,,,,,
random_fixed_palette,add_002_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-2_8,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one stool in the target_region using ",0.02857142857142857,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1251,26,26,0.9908691834942932,0.0,,,0.9908691834942932,False,,,,,
I_target,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
oracle_copyback,add_003_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_MasterBedroom-33296_add-3_18,ADD,"fixed-palette top-down semantic layout; white mask = repaint; black mask = preserve; preserve non-target furniture, floor, door, and window; no extra objects; no architecture leakage. ADD: paint exactly one double_bed in the target_region u",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,7,7,1.0,1.0,,,1.0,True,,,,,
