aspect,SemLayoutDiff behavior,LoReflection current behavior,evidence,difference,visual consequence,should_align,should_not_align,recommended action,confidence
category mapping,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
palette,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,yes,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
floor rendering,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
boundary rendering,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
wall rendering,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
door rendering,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
window rendering,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
furniture footprint,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
orientation,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
scale,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
layer order,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
overlap handling,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
crop,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,yes,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
padding,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,yes,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
resize,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
aspect ratio,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,yes,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
instance annotation,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
legend,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
contact sheet composition,see deep audit evidence,prototype audit V2 uses canonical LoReflection geometry and audit-only overlays,reports/semlayoutdiff_visualization_pipeline_deep_audit.json,requires manual review,alignable,pending,legend is LoReflection audit enhancement,do not change LoReflection visualization automatically unless completeness is true,hard/inferred mixed
